dataset_key,dataset_label,model_key,model_label,is_sigma_baseline,higher_better,display_unit,seed,metric_raw,metric_display,wandb_group,wandb_run_id,wandb_run_name
mnist,MNIST,SiGMA,SiGMA,True,True,accuracy_pct,4,0.9865,98.65,paper_bestmodel_v1_mnist_lcvbyyss,z7y9ucx2,mnist_hybrid_lcvbyyss_a2g2_seed4_job25313521_5
mnist,MNIST,MP_only,MP-only,False,True,accuracy_pct,0,0.9854,98.54,paper_T5_mnist_MP_only,9o203nua,paper_T5_mnist_MP_only_seed0_job35720034_21
mnist,MNIST,MP_only,MP-only,False,True,accuracy_pct,1,0.9862,98.61999999999999,paper_T5_mnist_MP_only,6yqz9vgp,paper_T5_mnist_MP_only_seed1_job35720034_22
mnist,MNIST,MP_only,MP-only,False,True,accuracy_pct,2,0.9867,98.67,paper_T5_mnist_MP_only,1idr17dr,paper_T5_mnist_MP_only_seed2_job35720034_23
mnist,MNIST,MP_only,MP-only,False,True,accuracy_pct,3,0.9857,98.57000000000001,paper_T5_mnist_MP_only,6qcu5p3p,paper_T5_mnist_MP_only_seed3_job35720034_24
mnist,MNIST,MP_only,MP-only,False,True,accuracy_pct,4,0.986,98.6,paper_T5_mnist_MP_only,sv9dbu45,paper_T5_mnist_MP_only_seed4_job35720034_25
mnist,MNIST,Attn_only,Attention-only,False,True,accuracy_pct,0,0.9776,97.76,paper_T5_mnist_Attn_only,cs81upao,paper_T5_mnist_Attn_only_seed0_job35720034_16
mnist,MNIST,Attn_only,Attention-only,False,True,accuracy_pct,1,0.976,97.6,paper_T5_mnist_Attn_only,0b8w6oge,paper_T5_mnist_Attn_only_seed1_job35720034_17
mnist,MNIST,Attn_only,Attention-only,False,True,accuracy_pct,2,0.979,97.89999999999999,paper_T5_mnist_Attn_only,fylco8dl,paper_T5_mnist_Attn_only_seed2_job35720034_18
mnist,MNIST,Attn_only,Attention-only,False,True,accuracy_pct,3,0.9758,97.58,paper_T5_mnist_Attn_only,qplj0srj,paper_T5_mnist_Attn_only_seed3_job35720034_19
mnist,MNIST,Attn_only,Attention-only,False,True,accuracy_pct,4,0.9741,97.41,paper_T5_mnist_Attn_only,fk83hy7i,paper_T5_mnist_Attn_only_seed4_job35720034_20
mnist,MNIST,SiGMA_attn_gate,"SiGMA, ung. MP",False,True,accuracy_pct,0,0.9873,98.72999999999999,paper_T5_mnist_SiGMA_attn_gate,2oup1qr1,paper_T5_mnist_SiGMA_attn_gate_seed0_job35720034_11
mnist,MNIST,SiGMA_attn_gate,"SiGMA, ung. MP",False,True,accuracy_pct,1,0.9861,98.61,paper_T5_mnist_SiGMA_attn_gate,cmk88mpr,paper_T5_mnist_SiGMA_attn_gate_seed1_job35720034_12
mnist,MNIST,SiGMA_attn_gate,"SiGMA, ung. MP",False,True,accuracy_pct,2,0.9866,98.66,paper_T5_mnist_SiGMA_attn_gate,zy930ubn,paper_T5_mnist_SiGMA_attn_gate_seed2_job36000721_13
